Complex_Name,Confidence_Score,Protein_Path,Ligand_Path
B2_60_S-Formylglutathione,-4.04,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_60_S-Formylglutathione/rank10_confidence-4.04.sdf
B5_52_Triose phosphate,-4.04,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_52_Triose phosphate/rank10_confidence-4.04.sdf
B3_22_trans-2-Octenal,-4.05,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_22_trans-2-Octenal/rank10_confidence-4.05.sdf
B2_7_glutaraldehyde,-4.07,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_7_glutaraldehyde/rank10_confidence-4.07.sdf
B7_34_4-hydroxy-2-nonenal,-4.07,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_34_4-hydroxy-2-nonenal/rank10_confidence-4.07.sdf
B6_10_4-guanidinobutyraldehyde,-4.07,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_10_4-guanidinobutyraldehyde/rank10_confidence-4.07.sdf
B4_41_Indole-3-acetaldehyde,-4.08,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_41_Indole-3-acetaldehyde/rank10_confidence-4.08.sdf
B2_32_9-cis-Retinal,-4.08,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_32_9-cis-Retinal/rank10_confidence-4.08.sdf
B2_6_amylaldehyde,-4.09,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_6_amylaldehyde/rank10_confidence-4.09.sdf
B4_9_2-hydroxypropionaldehyde,-4.1,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_9_2-hydroxypropionaldehyde/rank10_confidence-4.10.sdf
"B6_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-4.1,/root/miniproject/DiffDock/proteinPDB/B6.pdb,"/root/miniproject/results_batch/B6_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal/rank10_confidence-4.10.sdf"
B1_46_Succinic semialdehyde,-4.11,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_46_Succinic semialdehyde/rank10_confidence-4.11.sdf
B1_47_methylmalonate semialdehyde,-4.12,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_47_methylmalonate semialdehyde/rank10_confidence-4.12.sdf
B6_23_4-Hydroxynonenal,-4.12,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_23_4-Hydroxynonenal/rank10_confidence-4.12.sdf
B4_46_Succinic semialdehyde,-4.12,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_46_Succinic semialdehyde/rank10_confidence-4.12.sdf
B1_32_9-cis-Retinal,-4.13,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_32_9-cis-Retinal/rank10_confidence-4.13.sdf
B4_56_S-hydroxy-methylglutathione,-4.13,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_56_S-hydroxy-methylglutathione/rank10_confidence-4.13.sdf
B7_42_Glutamate-5-semialdehyde,-4.13,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_42_Glutamate-5-semialdehyde/rank10_confidence-4.13.sdf
B1_7_glutaraldehyde,-4.14,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_7_glutaraldehyde/rank10_confidence-4.14.sdf
"B1_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-4.15,/root/miniproject/DiffDock/proteinPDB/B1.pdb,"/root/miniproject/results_batch/B1_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal/rank10_confidence-4.15.sdf"
B5_29_Salicylaldehyde,-4.16,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_29_Salicylaldehyde/rank10_confidence-4.16.sdf
B1_20_Citral,-4.16,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_20_Citral/rank10_confidence-4.16.sdf
B4_57_S-3-oxopropylglutathione,-4.17,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_57_S-3-oxopropylglutathione/rank10_confidence-4.17.sdf
B4_4_malonaldehyde,-4.17,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_4_malonaldehyde/rank10_confidence-4.17.sdf
B7_33_11-cis-Retinol,-4.17,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_33_11-cis-Retinol/rank10_confidence-4.17.sdf
B3_60_S-Formylglutathione,-4.19,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_60_S-Formylglutathione/rank10_confidence-4.19.sdf
B5_41_Indole-3-acetaldehyde,-4.21,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_41_Indole-3-acetaldehyde/rank10_confidence-4.21.sdf
B3_32_9-cis-Retinal,-4.23,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_32_9-cis-Retinal/rank10_confidence-4.23.sdf
B4_50_10-formyltetrahydrofolate,-4.23,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_50_10-formyltetrahydrofolate/rank10_confidence-4.23.sdf
B3_59_4-Hydroxynonenal_glutathione,-4.23,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_59_4-Hydroxynonenal_glutathione/rank10_confidence-4.23.sdf
B5_25_hexadecanal,-4.23,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_25_hexadecanal/rank10_confidence-4.23.sdf
B6_59_4-Hydroxynonenal_glutathione,-4.24,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_59_4-Hydroxynonenal_glutathione/rank10_confidence-4.24.sdf
B5_35_Cinnamaldehyde,-4.24,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_35_Cinnamaldehyde/rank10_confidence-4.24.sdf
B3_29_Salicylaldehyde,-4.24,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_29_Salicylaldehyde/rank10_confidence-4.24.sdf
B7_20_Citral,-4.25,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_20_Citral/rank10_confidence-4.25.sdf
B5_56_S-hydroxy-methylglutathione,-4.25,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_56_S-hydroxy-methylglutathione/rank10_confidence-4.25.sdf
B5_15_heptanal,-4.26,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_15_heptanal/rank10_confidence-4.26.sdf
B1_51_6R-Tetrahydrofolic acid,-4.27,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_51_6R-Tetrahydrofolic acid/rank10_confidence-4.27.sdf
B7_53_Pyridoxal phosphate,-4.27,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_53_Pyridoxal phosphate/rank10_confidence-4.27.sdf
B3_9_2-hydroxypropionaldehyde,-4.29,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_9_2-hydroxypropionaldehyde/rank10_confidence-4.29.sdf
B5_6_amylaldehyde,-4.29,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_6_amylaldehyde/rank10_confidence-4.29.sdf
B4_60_S-Formylglutathione,-4.3,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_60_S-Formylglutathione/rank10_confidence-4.30.sdf
B4_23_4-Hydroxynonenal,-4.3,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_23_4-Hydroxynonenal/rank10_confidence-4.30.sdf
B2_59_4-Hydroxynonenal_glutathione,-4.31,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_59_4-Hydroxynonenal_glutathione/rank10_confidence-4.31.sdf
B1_52_Triose phosphate,-4.31,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_52_Triose phosphate/rank10_confidence-4.31.sdf
B2_13_(2E)-but-2-enal,-4.34,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_13_(2E)-but-2-enal/rank10_confidence-4.34.sdf
B2_14_trans-2-Hexenal,-4.34,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_14_trans-2-Hexenal/rank10_confidence-4.34.sdf
"B5_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-4.34,/root/miniproject/DiffDock/proteinPDB/B5.pdb,"/root/miniproject/results_batch/B5_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal/rank10_confidence-4.34.sdf"
B6_14_trans-2-Hexenal,-4.35,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_14_trans-2-Hexenal/rank10_confidence-4.35.sdf
B5_14_trans-2-Hexenal,-4.35,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_14_trans-2-Hexenal/rank10_confidence-4.35.sdf
B2_22_trans-2-Octenal,-4.38,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_22_trans-2-Octenal/rank10_confidence-4.38.sdf
B6_56_S-hydroxy-methylglutathione,-4.43,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_56_S-hydroxy-methylglutathione/rank10_confidence-4.43.sdf
B3_51_6R-Tetrahydrofolic acid,-4.43,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_51_6R-Tetrahydrofolic acid/rank10_confidence-4.43.sdf
B3_17_nonanal,-4.43,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_17_nonanal/rank10_confidence-4.43.sdf
B1_58_S-(4-oxobutan-2-yl)glutathione,-4.44,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_58_S-(4-oxobutan-2-yl)glutathione/rank10_confidence-4.44.sdf
B3_42_Glutamate-5-semialdehyde,-4.44,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_42_Glutamate-5-semialdehyde/rank10_confidence-4.44.sdf
B6_15_heptanal,-4.45,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_15_heptanal/rank10_confidence-4.45.sdf
B3_50_10-formyltetrahydrofolate,-4.45,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_50_10-formyltetrahydrofolate/rank10_confidence-4.45.sdf
B1_48_alpha-aminoadipate semialdehyde,-4.46,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_48_alpha-aminoadipate semialdehyde/rank10_confidence-4.46.sdf
B4_58_S-(4-oxobutan-2-yl)glutathione,-4.46,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_58_S-(4-oxobutan-2-yl)glutathione/rank10_confidence-4.46.sdf
B2_21_cis-2-Octenal,-4.47,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_21_cis-2-Octenal/rank10_confidence-4.47.sdf
B7_29_Salicylaldehyde,-4.47,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_29_Salicylaldehyde/rank10_confidence-4.47.sdf
B6_58_S-(4-oxobutan-2-yl)glutathione,-4.49,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_58_S-(4-oxobutan-2-yl)glutathione/rank10_confidence-4.49.sdf
B7_6_amylaldehyde,-4.5,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_6_amylaldehyde/rank10_confidence-4.50.sdf
B4_53_Pyridoxal phosphate,-4.5,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_53_Pyridoxal phosphate/rank10_confidence-4.50.sdf
"B5_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-4.51,/root/miniproject/DiffDock/proteinPDB/B5.pdb,"/root/miniproject/results_batch/B5_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal/rank10_confidence-4.51.sdf"
B2_23_4-Hydroxynonenal,-4.52,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_23_4-Hydroxynonenal/rank10_confidence-4.52.sdf
B6_34_4-hydroxy-2-nonenal,-4.53,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_34_4-hydroxy-2-nonenal/rank10_confidence-4.53.sdf
B3_56_S-hydroxy-methylglutathione,-4.53,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_56_S-hydroxy-methylglutathione/rank10_confidence-4.53.sdf
B6_50_10-formyltetrahydrofolate,-4.54,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_50_10-formyltetrahydrofolate/rank10_confidence-4.54.sdf
B1_60_S-Formylglutathione,-4.55,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_60_S-Formylglutathione/rank10_confidence-4.55.sdf
B4_40_Furan-2-carbaldehyde,-4.56,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_40_Furan-2-carbaldehyde/rank10_confidence-4.56.sdf
B7_52_Triose phosphate,-4.56,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_52_Triose phosphate/rank10_confidence-4.56.sdf
B5_59_4-Hydroxynonenal_glutathione,-4.56,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_59_4-Hydroxynonenal_glutathione/rank10_confidence-4.56.sdf
B2_3_propylaldehyde,-4.58,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_3_propylaldehyde/rank10_confidence-4.58.sdf
B6_51_6R-Tetrahydrofolic acid,-4.59,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_51_6R-Tetrahydrofolic acid/rank10_confidence-4.59.sdf
B2_45_adipate semialdehyde,-4.59,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_45_adipate semialdehyde/rank10_confidence-4.59.sdf
B1_33_11-cis-Retinol,-4.59,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_33_11-cis-Retinol/rank10_confidence-4.59.sdf
B6_20_Citral,-4.6,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_20_Citral/rank10_confidence-4.60.sdf
B5_40_Furan-2-carbaldehyde,-4.61,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_40_Furan-2-carbaldehyde/rank10_confidence-4.61.sdf
B1_57_S-3-oxopropylglutathione,-4.62,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_57_S-3-oxopropylglutathione/rank10_confidence-4.62.sdf
B3_25_hexadecanal,-4.63,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_25_hexadecanal/rank10_confidence-4.63.sdf
B6_44_glutarate semialdehyde,-4.63,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_44_glutarate semialdehyde/rank10_confidence-4.63.sdf
B7_32_9-cis-Retinal,-4.63,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_32_9-cis-Retinal/rank10_confidence-4.63.sdf
B1_34_4-hydroxy-2-nonenal,-4.65,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_34_4-hydroxy-2-nonenal/rank10_confidence-4.65.sdf
B7_8_hexanal,-4.68,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_8_hexanal/rank10_confidence-4.68.sdf
B3_6_amylaldehyde,-4.68,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_6_amylaldehyde/rank10_confidence-4.68.sdf
B3_3_propylaldehyde,-4.68,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_3_propylaldehyde/rank10_confidence-4.68.sdf
B6_22_trans-2-Octenal,-4.69,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_22_trans-2-Octenal/rank10_confidence-4.69.sdf
B6_36_3-(4-Isopropylphenyl)-2-methylpropanal,-4.7,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_36_3-(4-Isopropylphenyl)-2-methylpropanal/rank10_confidence-4.70.sdf
B1_3_propylaldehyde,-4.71,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_3_propylaldehyde/rank10_confidence-4.71.sdf
B6_41_Indole-3-acetaldehyde,-4.72,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_41_Indole-3-acetaldehyde/rank10_confidence-4.72.sdf
B1_1_formaldehyde,-4.72,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_1_formaldehyde/rank10_confidence-4.72.sdf
B1_13_(2E)-but-2-enal,-4.75,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_13_(2E)-but-2-enal/rank10_confidence-4.75.sdf
B3_57_S-3-oxopropylglutathione,-4.76,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_57_S-3-oxopropylglutathione/rank10_confidence-4.76.sdf
B5_51_6R-Tetrahydrofolic acid,-4.76,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_51_6R-Tetrahydrofolic acid/rank10_confidence-4.76.sdf
"B1_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-4.77,/root/miniproject/DiffDock/proteinPDB/B1.pdb,"/root/miniproject/results_batch/B1_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal/rank10_confidence-4.77.sdf"
B5_12_prop-2-ynal,-4.78,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_12_prop-2-ynal/rank10_confidence-4.78.sdf
B4_35_Cinnamaldehyde,-4.79,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_35_Cinnamaldehyde/rank10_confidence-4.79.sdf
B3_2_acetaldehyde,-4.8,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_2_acetaldehyde/rank10_confidence-4.80.sdf
B6_43_Glutamate-1-semialdehyde,-4.82,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_43_Glutamate-1-semialdehyde/rank10_confidence-4.82.sdf
B6_60_S-Formylglutathione,-4.82,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_60_S-Formylglutathione/rank10_confidence-4.82.sdf
B7_51_6R-Tetrahydrofolic acid,-4.83,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_51_6R-Tetrahydrofolic acid/rank10_confidence-4.83.sdf
B6_16_octanaldehyde,-4.84,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_16_octanaldehyde/rank10_confidence-4.84.sdf
